SKU,Common Product Id,Name,Description,Sale Price,Sale Price Tax Included,MRP,Purchase Price,Purchase Price Tax Included,Tax,Quantity,Measuring Unit,Brand,Category,Sub Category,Category 1,Sub Category 1,Category 2,Sub Category 2,Barcode,Product Id,Shipping Weight,Min Quantity,Max Quantity,Show Online,HSN,Condition,Gender,Age Group,GTIN,MPN,Material,Pattern,SEO Title,SEO Description,Video Url,Summary,Size,Color,Color_Data,Image1,Image2,Image3,Image4,Image5,Image6
SKU-0471,SSK-0212,Butterscotch With Chocolate Topping,,1899.0,true,2199.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,butterscotch-with-chocolate-topping,0.0,,,true,,,,,,,,,,,,,2 KG,,,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-chocolate-topping-1712820344255_SKU-0468_0.jpg,,,,,
SKU-0472,SSK-0213,Together forever lad lamp,,899.0,true,1299.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,together-forever-lad-lamp,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/together-forever-lad-lamp-1712820345293_SKU-0472_0.webp,,,,,
SKU-0473,SSK-0214,Diwali nutty treat Hamper,,1749.0,true,1749.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,diwali-nutty-treat-hamper,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/diwali-nutty-treat-hamper-1712820346018_SKU-0473_0.jpg,,,,,
SKU-0474,SSK-0215,Eggless truffle cake and money plant,,1275.0,true,1499.0,0.0,true,,0.0,,My Gifts Tree,,,,,,,,eggless-truffle-cake-and-money-plant,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/eggless-truffle-cake-and-money-plant-1712820347671_SKU-0474_0.webp,https://storage.googleapis.com/shy-pub/327349/eggless-truffle-cake-and-money-plant-1712820349905_SKU-0474_0.webp,https://storage.googleapis.com/shy-pub/327349/eggless-truffle-cake-and-money-plant-1712820351002_SKU-0474_0.webp,https://storage.googleapis.com/shy-pub/327349/eggless-truffle-cake-and-money-plant-1712820351928_SKU-0474_0.webp,,
SKU-0475,SSK-0216,Golden money plant in yellow pot,,599.0,true,799.0,0.0,true,,0.0,,My Gifts Tree,,,,,,,,golden-money-plant-in-yellow-pot,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/golden-money-plant-in-yellow-pot-1712820352948_SKU-0475_0.webp,https://storage.googleapis.com/shy-pub/327349/golden-money-plant-in-yellow-pot-1712820354722_SKU-0475_0.webp,,,,
SKU-0476,SSK-0217,Birthday Special Black Personalised Mug,,649.0,true,849.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,birthday-special-black-personalised-mug,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/birthday-special-black-personalised-mug-1712820355859_SKU-0476_0.webp,,,,,
SKU-0477,SSK-0218,The Butterscotch Rose,,499.0,true,749.0,0.0,true,,0.0,,MY GIFTS TREE,,,,,,,,the-butterscotch-rose,0.0,,,true,,,,,,,,,,,,,500  GM,,,https://storage.googleapis.com/shy-pub/327349/the-butterscotch-rose-1712820356468_SKU-0477_0.jpg,,,,,
SKU-0478,SSK-0218,The Butterscotch Rose,,899.0,true,899.0,0.0,true,,0.0,,MY GIFTS TREE,,,,,,,,the-butterscotch-rose,0.0,,,true,,,,,,,,,,,,,1 KG,,,https://storage.googleapis.com/shy-pub/327349/the-butterscotch-rose-1712820356468_SKU-0477_0.jpg,,,,,
SKU-0479,SSK-0218,The Butterscotch Rose,,1499.0,true,1499.0,0.0,true,,0.0,,MY GIFTS TREE,,,,,,,,the-butterscotch-rose,0.0,,,true,,,,,,,,,,,,,1.5 KG,,,https://storage.googleapis.com/shy-pub/327349/the-butterscotch-rose-1712820356468_SKU-0477_0.jpg,,,,,
SKU-0480,SSK-0218,The Butterscotch Rose,,1999.0,true,1999.0,0.0,true,,0.0,,MY GIFTS TREE,,,,,,,,the-butterscotch-rose,0.0,,,true,,,,,,,,,,,,,2KG,,,https://storage.googleapis.com/shy-pub/327349/the-butterscotch-rose-1712820356468_SKU-0477_0.jpg,,,,,
SKU-0481,SSK-0219,Colorful number chocolate cake & cupcake,,3499.0,true,3499.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,colorful-number-chocolate-cake-cupcake,0.0,,,true,,,,,,,,,,,,,3 KG,,,https://storage.googleapis.com/shy-pub/327349/colorful-number-chocolate-cake-cupcake-1712820357792_SKU-0481_0.jpg,,,,,
SKU-0482,SSK-0219,Colorful number chocolate cake & cupcake,,5499.0,true,5499.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,colorful-number-chocolate-cake-cupcake,0.0,,,true,,,,,,,,,,,,,5 KG,,,https://storage.googleapis.com/shy-pub/327349/colorful-number-chocolate-cake-cupcake-1712820357792_SKU-0481_0.jpg,,,,,
SKU-0483,SSK-0220,Premium Car Dashboard Resin Bahubali Hanuman Idol Home Decor Item Hanuman Murti Statue for Desk & Gift,,1499.0,true,1499.0,0.0,true,,0.0,,Roposo Clout,,,,,,,,premium-car-dashboard-resin-bahubali-hanuman-idol-home-decor-item-hanuman-murti-statue-for-desk-gift,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/premium-car-dashboard-resin-bahubali-hanuman-idol-1712820358916_SKU-0483_0.jpg,https://storage.googleapis.com/shy-pub/327349/premium-car-dashboard-resin-bahubali-hanuman-idol-1712820359720_SKU-0483_0.jpg,https://storage.googleapis.com/shy-pub/327349/premium-car-dashboard-resin-bahubali-hanuman-idol-1712820360581_SKU-0483_0.jpg,https://storage.googleapis.com/shy-pub/327349/premium-car-dashboard-resin-bahubali-hanuman-idol-1712820361513_SKU-0483_0.jpg,https://storage.googleapis.com/shy-pub/327349/premium-car-dashboard-resin-bahubali-hanuman-idol-1712820362430_SKU-0483_0.jpg,
SKU-0484,SSK-0221,personalization teddy bear,,1249.0,true,1249.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,personalization-teddy-bear,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/personalization-teddy-bear-1712820363422_SKU-0484_0.webp,https://storage.googleapis.com/shy-pub/327349/personalization-teddy-bear-1712820364081_SKU-0484_0.webp,,,,
